Mg,Ni,Al,Fe,Ca,Cr,P,S,Ti,Si
0,0,,0,32.23298423,,,0,33.84531984,0
0,0,,0,28.15013956,,,0,35.32023056,0
0,0,,0,27.935253,,,0,37.49378321,0
0,0,,0,30.7287783,,,0,37.10564881,0.391623787
0.118598619,0.986387613,,0,33.09253048,,,0,35.08734992,0
0,0,,0,27.29059332,,,0,36.95039505,0.097905947
0,0,,0,31.58832455,,,0,35.94124561,0
0,0.657591742,,0,35.24139609,,,0,36.95039505,0
0,0,,0,31.58832455,,,0,33.45718543,0.097905947
0,0,,0.640161561,28.15013956,,,0,35.32023056,0
0.118598619,0.657591742,,0,31.58832455,,,0,37.26090257,0
0,0,,0.640161561,29.86923206,,,0,39.04632082,0
0.237197238,0,,0,28.79479925,,,0,37.18327569,0.097905947
0,0,,0,27.29059332,,,0,36.95039505,0.195811894
0,0,,0,29.00968581,,,0,34.62158864,0
0.118598619,0,,0,29.43945893,,,0,33.84531984,0.195811894
0,0,,0,23.85240833,,,0,34.388708,0
0,0,,0,28.15013956,,,0,34.69921552,0
0,0.657591742,,0,33.09253048,,,0,37.33852945,0
0,0,,0,30.51389174,,,0,36.63988753,0
0,0.657591742,,0.640161561,28.15013956,,,0,34.62158864,0.097905947
0,0,,0,30.29900518,,,0,35.5531112,0
0,0,,0,31.37343799,,,0,34.93209616,0
0,0,,0,29.86923206,,,0,34.0005736,0
0,0,,0,30.94366486,,,0,36.87276817,0
0,0,,0,29.65434549,,,0,35.63073808,0.195811894
0,0,,0,27.29059332,,,0,37.33852945,0.097905947
0,0,,0.640161561,27.29059332,,,0,36.63988753,0
0,0,,0,26.86082019,,,0,36.63988753,0
0,0,,0,29.65434549,,,0,36.79514129,0
0,0,,0,30.08411862,,,0,34.0005736,0.097905947
0,0,,0.640161561,33.5223036,,,0,36.63988753,0
0,0.657591742,,0,32.01809767,,,0,34.46633488,0.097905947
0,0,,0,28.57991269,,,0,35.63073808,0.195811894
0,0,,0,30.7287783,,,0,33.76769296,0
0,0.657591742,,0,30.7287783,,,0,34.31108112,0
0,0,,0,30.29900518,,,0,35.39785744,0
0,0,,0,25.57150082,,,0,34.93209616,0
0,0,,0,25.57150082,,,0,35.63073808,0
0.118598619,0,,0,28.79479925,,,0,32.68091663,0
0,0.657591742,,0,28.15013956,,,0,37.10564881,0.097905947
0,0,,0,28.15013956,,,0,34.46633488,0
0,0,,0,30.29900518,,,0,38.11479826,0
0,0.657591742,,0,30.94366486,,,0,35.32023056,0
0.118598619,0,,0,27.29059332,,,0,38.50293266,0
0,0,,0,27.72036644,,,0,35.08734992,0.097905947
0.118598619,0,,0,27.935253,,,0,36.32938001,0.097905947
0.355795857,0,,0,26.21616051,,,0,38.03717138,0.097905947
0,0,,0,26.21616051,,,0,37.49378321,0.195811894
0,0,,0.960242341,26.43104707,,,0,36.95039505,0.097905947
0,0.657591742,,0,25.1417277,,,0,35.32023056,0.097905947
0,0,,0,28.36502612,,,0,37.33852945,0
0,0,,0,28.79479925,,,0,33.6124392,0
0,0.986387613,,1.280323121,26.86082019,,,0,36.56226065,0
0,0,,0,29.65434549,,,0,34.85446928,0
0,0,,0,29.00968581,,,0,35.94124561,0.097905947
0,0.657591742,,0,29.86923206,,,0,33.84531984,0
0,0,,0,26.21616051,,,0,33.6124392,0
0,0,,0,26.86082019,,,0,36.09649937,0
0,0,,0,25.57150082,,,0,32.68091663,0
0,0,,0,29.43945893,,,0,34.388708,0.195811894
0.118598619,0,,0,31.80321111,,,0,33.76769296,0
0.237197238,0,,0.640161561,31.37343799,,,0,36.32938001,0.097905947
0,0,,0,30.51389174,,,0,35.63073808,0
0,0,,0,32.01809767,,,0,35.63073808,0.195811894
0,0,,0.640161561,31.80321111,,,0,39.04632082,0.293717841
0,0,,0,29.86923206,,,0,39.1239477,0
0,0,,0,30.7287783,,,0,37.33852945,0.293717841
0,0,,0,29.22457237,,,0,37.80429073,0
0,0,,0,32.44787079,,,0,35.08734992,0.097905947
0,0,,0,26.64593363,,,0,37.64903697,0
0.118598619,0,,0,28.57991269,,,0,35.24260368,0
0,0,,0,28.15013956,,,0,33.69006608,0.097905947
0,0,,0.640161561,30.29900518,,,0,36.79514129,0
0,0.657591742,,0.640161561,28.36502612,,,0,35.47548432,0
0.118598619,0,,0,33.5223036,,,0,35.32023056,0.195811894
0,0,,0,33.5223036,,,0,36.32938001,0.097905947
0,0,,0.640161561,28.79479925,,,0,35.00972304,0
0.118598619,0,,0,28.57991269,,,0,34.54396176,0
0,0,,0,28.15013956,,,0,36.56226065,0
0,0.657591742,,0.640161561,30.51389174,,,0,36.40700689,0
0.355795857,0.657591742,,0,30.51389174,,,0,34.93209616,0.097905947
0,0,,0,33.09253048,,,0,37.10564881,0
0,0,,0.640161561,35.24139609,,,0,33.45718543,0
0,0,,0,27.29059332,,,0,35.00972304,0
0,0,,0,31.80321111,,,0,35.94124561,0
0,0,,0,32.23298423,,,0,34.93209616,0.097905947
0,0.657591742,,0,25.1417277,,,0,33.45718543,0
0,0,,0,26.43104707,,,0,35.5531112,0
0,0,,0,28.79479925,,,0,35.5531112,0.097905947
0,0,,0,29.65434549,,,0,35.08734992,0.097905947
0,0,,0,24.92684114,,,0,36.87276817,0.097905947
0,0,,0,30.08411862,,,0,35.47548432,0
0,0.986387613,,0,29.86923206,,,0,35.08734992,0
0,0,,0,30.7287783,,,0,36.63988753,0
0,0.657591742,,0,32.44787079,,,0,34.7768424,0
0.118598619,0,,0,29.00968581,,,0.938449767,36.25175313,0
0,0,,0,26.00127395,,,0,35.08734992,0
0,0,,0,31.58832455,,,0,36.09649937,0
0,0.657591742,,0,31.80321111,,,0,35.86361873,0
0,0,,0,26.64593363,,,0,38.81344018,0.097905947
0,0,,0,33.95207672,,,0,34.23345424,0
0,0.657591742,,0,33.73719016,,,0,36.40700689,0
0,0,,0.640161561,28.15013956,,,0,36.01887249,0
0,0,,0,32.01809767,,,0,34.93209616,0
0,0,,0,29.22457237,,,0,36.63988753,0
0,0,,0.640161561,26.86082019,,,0,37.33852945,0
0,0.986387613,,0,26.86082019,,,0,35.63073808,0.195811894
0.118598619,0.986387613,,0,29.86923206,,,0,35.24260368,0
0,0,,0.640161561,27.935253,,,0,32.68091663,0.097905947
0,0,,0,25.1417277,,,0,34.69921552,0
0.118598619,0.657591742,,0,29.43945893,,,0,34.46633488,0.195811894
0,1.315183485,,0,32.44787079,,,0,36.79514129,0
0,0,,0,28.57991269,,,0,36.25175313,0
0,0,,0,33.09253048,,,0,36.25175313,0
0,0,,0,28.36502612,,,0,36.79514129,0
0,0,,0.640161561,29.65434549,,,0,31.98227471,0
0,0,,0,25.57150082,,,0,35.00972304,0.097905947
0,0,,0,26.86082019,,,0,33.76769296,0.195811894
0,0,,0,25.57150082,,,0,37.10564881,0.293717841
0.237197238,0,,0,29.00968581,,,0,36.56226065,0
0,0,,0,29.65434549,,,0,34.69921552,0
0,0,,0,28.36502612,,,0,35.5531112,0
0.118598619,0.657591742,,0.640161561,26.00127395,,,0,34.69921552,0
0,0.657591742,,0,31.58832455,,,0,37.26090257,0
0,0,,0,29.65434549,,,0,35.86361873,0.195811894
0,0,,0,27.72036644,,,0,36.79514129,0.097905947
0,0,,0,30.08411862,,,0,37.49378321,0
0,0.986387613,,0,31.80321111,,,0,34.388708,0.097905947
0,0,,0,32.01809767,,,0,34.15582736,0.195811894
0,0,,0,26.00127395,,,0,35.5531112,0
0.237197238,0,,0,30.08411862,,,0,35.63073808,0.195811894
0,0.986387613,,0,29.65434549,,,0,37.10564881,0.195811894
0,0,,0,31.15855142,,,0,33.76769296,0.097905947
0,0.986387613,,0,25.57150082,,,0,36.95039505,0.097905947
0,0,,1.280323121,30.7287783,,,0,37.33852945,0.195811894
0.118598619,0,,0,28.57991269,,,0,39.27920146,0
0.118598619,0.657591742,,0,32.66275736,,,0,34.62158864,0.097905947
0,0,,0,29.65434549,,,0,36.40700689,0
0,0,,0,28.15013956,,,0,36.32938001,0.097905947
0,0.657591742,,0,29.00968581,,,0,36.95039505,0.097905947
0,0,,0,27.72036644,,,0,36.25175313,0
0,0,,0,33.09253048,,,0,36.09649937,0
0,0,,0,35.67116922,,,0,35.00972304,0
0,1.315183485,,0,27.935253,,,0,34.62158864,0
0,0,,0,32.44787079,,,0,37.10564881,0
0,0,,0,32.44787079,,,0,34.62158864,0.097905947
0,0,,0,32.44787079,,,0,34.54396176,0.293717841
0,0,,0,27.29059332,,,0,33.22430479,0.097905947
0.118598619,0,,0,27.29059332,,,0,36.40700689,0.293717841
0,0,,0,30.7287783,,,0,33.14667791,0.097905947
0,0,,0,29.00968581,,,0,36.09649937,0
0.118598619,0,,0,35.02650953,,,0,32.13752847,0
0,0,,0,32.66275736,,,0,38.89106706,0.195811894
0,0,,0,28.79479925,,,0,38.3476789,0.097905947
0,0,,0,32.23298423,,,0,37.10564881,0
0.118598619,0,,0,32.01809767,,,0,35.24260368,0.195811894
0.118598619,0.657591742,,0,29.65434549,,,0,36.01887249,0.097905947
0,0,,0,29.00968581,,,0,32.99142415,0
0,0,,0,25.57150082,,,0,35.24260368,0
0,0.657591742,,0,27.935253,,,0,36.01887249,0.097905947
0,0,,0,30.29900518,,,0,37.9595445,0
0,0,,0,31.58832455,,,0,35.86361873,0
0,0,,0,30.08411862,,,0,34.7768424,0
0,0,,0,27.72036644,,,0,36.95039505,0
0,0,,0,28.36502612,,,0,36.56226065,0
0,0,,0.640161561,28.15013956,,,0,36.32938001,0.097905947
0,0,,0.640161561,32.23298423,,,0,34.69921552,0.097905947
0,0.657591742,,0,30.7287783,,,0,36.79514129,0
0.118598619,0,,0,29.22457237,,,0,36.01887249,0.097905947
0.118598619,0,,0,30.08411862,,,0,35.78599185,0.195811894
0,0.657591742,,0,27.72036644,,,0,32.52566287,0
0,0,,0,27.72036644,,,0,34.23345424,0
0,0,,0.960242341,30.7287783,,,0,35.63073808,0.097905947
0,0.986387613,,0,26.00127395,,,0,36.40700689,0
0,0,,0,29.43945893,,,0.938449767,34.69921552,0
0,0,,0,31.58832455,,,0,37.49378321,0
0,0,,0,33.95207672,,,0,34.07820048,0
0,0.986387613,,0.640161561,29.00968581,,,0,35.86361873,0
0,0,,0.640161561,29.65434549,,,0,37.72666385,0
0,0.657591742,,0.640161561,31.58832455,,,0,37.72666385,0
0,0,,0,31.15855142,,,0,33.45718543,0.195811894
0,0,,0,29.86923206,,,0,34.07820048,0.195811894
0,0.657591742,,0.640161561,30.08411862,,,0,37.33852945,0
0,0,,0,27.29059332,,,0,36.32938001,0.195811894
0,0,,0,28.36502612,,,0,34.69921552,0.195811894
0,0,,0,27.29059332,,,0,38.11479826,0
0,0,,0,30.29900518,,,0,35.47548432,0
0,0.986387613,,0,32.66275736,,,0,35.63073808,0
0,0,,0,30.51389174,,,0,33.22430479,0.097905947
0,0,,0,30.51389174,,,0,36.56226065,0.195811894
0,0,,0,28.36502612,,,0,35.08734992,0.293717841
0,0.657591742,,0,25.35661426,,,0,34.62158864,0
0.118598619,0,,0,28.79479925,,,0,37.72666385,0
0,0,,0,23.20774865,,,0,34.69921552,0
0,0,,0,30.51389174,,,0,38.50293266,0
0,0,,0,30.08411862,,,0,33.14667791,0
0,0.657591742,,0,27.29059332,,,0,35.39785744,0
0.237197238,0,,0.640161561,27.72036644,,,0,36.32938001,0
0,0,,0,31.15855142,,,0,36.63988753,0
0,0,,0.640161561,26.86082019,,,0,36.95039505,0
0.118598619,0,,0,30.08411862,,,0,34.07820048,0
0,0.657591742,,0,34.16696329,,,0,35.24260368,0.097905947
0,0,,0,26.86082019,,,0,35.32023056,0
0,0.657591742,,0,29.65434549,,,0,36.63988753,0.195811894
0,0,,0,31.15855142,,,0,35.24260368,0
0,0,,0.640161561,26.86082019,,,0,35.08734992,0
0,0,,0,27.72036644,,,0,36.56226065,0
0,0,,0.960242341,24.92684114,,,0,35.32023056,0
0,0,,0,31.58832455,,,0,34.23345424,0
0,0,,0,27.935253,,,0,37.26090257,0
0,0,,0,27.935253,,,0,35.24260368,0
0,0,,0,27.935253,,,0,38.27005202,0
0,0,,0,34.16696329,,,0,36.95039505,0
0,0,,0,32.01809767,,,0,34.388708,0.097905947
0,0,,0,28.79479925,,,0,35.94124561,0.097905947
0,0,,0,26.43104707,,,0,37.26090257,0.195811894
0.118598619,0.657591742,,0,32.66275736,,,0,37.72666385,0
0,0,,0,30.29900518,,,0,36.40700689,0
0,0,,0,29.86923206,,,0,38.03717138,0
0,0,,0.640161561,30.08411862,,,0,35.24260368,0
0,0.986387613,,0,27.29059332,,,0,37.10564881,0
0.118598619,0,,0,32.44787079,,,0,35.94124561,0.097905947
0,0.657591742,,0,29.43945893,,,0,34.15582736,0
0,0,,0,26.21616051,,,0,33.84531984,0
0.118598619,0,,0,29.00968581,,,0,34.85446928,0.097905947
0,0,,0.640161561,26.86082019,,,0,36.79514129,0
0.118598619,0,,0,31.58832455,,,0.938449767,36.63988753,0
0,0.986387613,,0,27.29059332,,,0,33.06905103,0.097905947
0,0,,0,29.00968581,,,0,38.3476789,0.195811894
0.118598619,0.657591742,,0,29.22457237,,,0,36.01887249,0
0,0,,0,33.30741704,,,0,34.85446928,0
0.118598619,0,,0,29.86923206,,,0,34.62158864,0
0,0,,0,24.06729489,,,0,34.388708,0.097905947
0,0,,0,29.86923206,,,0,36.95039505,0
0,0,,0,29.65434549,,,0,35.78599185,0.097905947
0,0,,0,26.00127395,,,0,34.85446928,0
0.118598619,0.986387613,,0,29.65434549,,,0,34.388708,0
0,0,,0,29.65434549,,,0,34.46633488,0
0.237197238,0,,0,29.86923206,,,0,36.79514129,0
0,0.986387613,,0,28.79479925,,,0,33.92294672,0.097905947
0,0,,0,32.87764392,,,0,36.63988753,0.097905947
0.118598619,0.657591742,,0.960242341,29.00968581,,,0,36.95039505,0
0,0,,0,31.37343799,,,0,35.08734992,0.097905947
0,0,,0,28.36502612,,,0,35.47548432,0
0,0,,0.640161561,25.57150082,,,0,34.15582736,0.097905947
0,0,,0,30.94366486,,,0,36.32938001,0
0,0,,0,25.57150082,,,0,38.03717138,0
0,0,,0,30.08411862,,,0,35.94124561,0
0,0,,0,26.86082019,,,0,35.39785744,0.097905947
0.118598619,0,,0.960242341,27.29059332,,,0,35.32023056,0
0,0,,0.960242341,25.35661426,,,0,39.43445522,0
0,0,,0,31.37343799,,,0,39.58970898,0
0,0,,0,32.01809767,,,0,36.63988753,0
0,0,,1.280323121,25.57150082,,,0,35.47548432,0
0,0,,0,26.43104707,,,0,37.33852945,0
0,0,,0,28.36502612,,,0,37.10564881,0
0.118598619,0,,0,26.64593363,,,0,35.94124561,0.097905947
0,0.657591742,,0,31.58832455,,,0,35.32023056,0
0,0,,0,30.51389174,,,0,34.388708,0
0,0,,0,32.66275736,,,0,35.78599185,0.195811894
0,0,,0,23.85240833,,,0,37.64903697,0
0,0,,0,30.29900518,,,0,35.94124561,0
0.118598619,0,,0,27.72036644,,,0,36.32938001,0
0,0,,0.640161561,25.35661426,,,0,35.00972304,0.195811894
0,0,,0,26.86082019,,,0,36.79514129,0
0,0,,0,31.80321111,,,0,37.72666385,0
0,0,,0,31.58832455,,,0,35.63073808,0
0,0,,0,27.72036644,,,0,36.63988753,0
0,0.657591742,,0,26.86082019,,,0,35.32023056,0.195811894
0.118598619,0,,0,32.01809767,,,0,38.27005202,0.097905947
0,0,,0,30.08411862,,,0,35.63073808,0.195811894
0,0,,0.640161561,31.37343799,,,0,35.78599185,0
0,0,,0,26.86082019,,,0,34.31108112,0
0,0,,0,30.08411862,,,0,37.88191761,0
0.118598619,0,,0,32.87764392,,,0,36.09649937,0
0,0,,0,31.15855142,,,0,35.86361873,0.097905947
0.237197238,0.657591742,,0,30.7287783,,,0,38.27005202,0
0,0,,0.640161561,28.15013956,,,0,34.62158864,0
0,0.657591742,,0.640161561,28.79479925,,,0,34.62158864,0
0,0.986387613,,0,27.72036644,,,0,36.95039505,0
0,0,,0.640161561,27.29059332,,,0,35.47548432,0
0,0,,0,28.36502612,,,0,35.63073808,0
0,0,,0,25.57150082,,,0,35.63073808,0
0,0,,0,29.22457237,,,0,36.25175313,0.097905947
0,0,,0.640161561,29.86923206,,,0,34.15582736,0
0,0,,0,28.36502612,,,0,36.95039505,0.097905947
0.118598619,0.986387613,,0,30.94366486,,,0,36.09649937,0
0,0.657591742,,0,31.58832455,,,0,37.10564881,0.293717841
0.118598619,0,,0,28.15013956,,,0,34.85446928,0
0,0,,0,28.57991269,,,0,34.46633488,0
0,0.657591742,,0,29.65434549,,,0,37.88191761,0
0.118598619,0,,0.640161561,29.65434549,,,0,34.54396176,0
0,0,,0,29.22457237,,,0,35.86361873,0
0.118598619,0.657591742,,0,24.92684114,,,0,35.32023056,0.195811894
0,0,,0,33.09253048,,,0,38.3476789,0
0,0,,0,25.57150082,,,0,35.86361873,0
0.118598619,0.657591742,,0,26.21616051,,,0,37.26090257,0.195811894
0,0,,0,28.57991269,,,0,39.20157458,0
0.118598619,0.657591742,,0,32.87764392,,,0,33.69006608,0
0.118598619,0,,0,28.36502612,,,0,34.15582736,0.097905947
0.237197238,0,,0,31.80321111,,,0,35.47548432,0
0,0.657591742,,0,26.64593363,,,0,35.47548432,0.097905947
0,0.657591742,,0,26.86082019,,,0,35.94124561,0
0,0,,0,33.73719016,,,0,35.39785744,0.097905947
0,0.657591742,,0,25.57150082,,,0,37.49378321,0.097905947
0.474394476,0.657591742,,0,26.86082019,,,0,35.08734992,0.097905947
0,0.657591742,,0,32.23298423,,,0,36.40700689,0.097905947
0,0,,0,28.79479925,,,0,37.49378321,0
0,0.657591742,,0,29.43945893,,,0,35.08734992,0.097905947
0,0,,0,33.5223036,,,0,36.79514129,0
0.118598619,0,,0,31.58832455,,,0,35.00972304,0
0,0,,0,33.73719016,,,0,35.63073808,0
0,0,,0,26.86082019,,,0,36.32938001,0
0,0,,0,29.43945893,,,0,35.39785744,0
0,0,,0,29.00968581,,,0,36.63988753,0
0,0,,0,26.64593363,,,0,36.01887249,0
0,0.986387613,,0,30.08411862,,,0,36.95039505,0
0,1.315183485,,0,29.86923206,,,0,35.5531112,0
0,0,,0,30.7287783,,,0,35.39785744,0
0.118598619,0,,0,28.79479925,,,0,36.25175313,0
0.118598619,0,,0,26.64593363,,,0,37.18327569,0
0,0.986387613,,0,24.92684114,,,0,37.57141009,0.293717841
0,0,,0,32.23298423,,,0,35.5531112,0
0,0,,0,30.7287783,,,0,35.32023056,0
0,0,,0.960242341,30.08411862,,,0,35.86361873,0
0,0,,0,31.80321111,,,0,35.32023056,0
0,0,,0,28.15013956,,,0,34.69921552,0
0,0,,0,29.00968581,,,0,37.10564881,0.097905947
0,0,,0,24.49706802,,,0,34.69921552,0
0,0,,0,27.935253,,,0,35.08734992,0.195811894
0,0,,0,28.57991269,,,0,36.95039505,0
0,0,,0,30.08411862,,,0,36.01887249,0
0.118598619,0.986387613,,0,29.86923206,,,0,38.03717138,0
0,0,,0.640161561,27.29059332,,,0,34.85446928,0
0,0,,0,36.53071546,,,0,36.32938001,0.097905947
0,0,,0,29.86923206,,,0,38.96869394,0
0.118598619,0,,0,26.43104707,,,0,36.79514129,0
0,0,,0,25.35661426,,,0,36.40700689,0
0,0.986387613,,0,26.43104707,,,0,36.87276817,0.293717841
0,0,,0,30.94366486,,,0,37.72666385,0
0.118598619,0,,0.640161561,23.85240833,,,0,35.00972304,0
0,0,,0,26.00127395,,,0,36.32938001,0.097905947
0,0,,0,32.01809767,,,0,35.08734992,0
0,0.657591742,,0,33.95207672,,,0,33.84531984,0
0,0.657591742,,0,30.08411862,,,0,38.81344018,0.097905947
0,0,,0,30.29900518,,,0,36.01887249,0.097905947
0,0,,0,25.1417277,,,0,35.5531112,0.195811894
0,0,,0,28.57991269,,,0,33.53481231,0
0,0,,0,27.72036644,,,0,36.01887249,0.195811894
0,0.657591742,,0.640161561,28.57991269,,,0,35.00972304,0
0,0,,0.640161561,28.79479925,,,0,34.23345424,0
0,0,,0,22.3482024,,,0,35.63073808,0
0,0.657591742,,0,26.21616051,,,0,35.39785744,0
0.118598619,0,,0,30.7287783,,,0,35.39785744,0
0,0,,0,29.43945893,,,0,33.92294672,0.097905947
0,0,,0,26.00127395,,,0,35.47548432,0
0,0,,0.960242341,27.935253,,,0,34.69921552,0.097905947
0,1.315183485,,0,27.29059332,,,0,37.10564881,0.097905947
0.237197238,0,,0,29.00968581,,,0,35.86361873,0.097905947
0,0,,1.280323121,33.30741704,,,0,35.63073808,0
0,0.657591742,,0,26.00127395,,,0,37.10564881,0.097905947
0,0,,0,30.94366486,,,0,35.08734992,0.097905947
0,0,,0,30.29900518,,,0,35.08734992,0
0,0,,0,26.00127395,,,0.938449767,34.07820048,0
0,0,,0,30.51389174,,,0,34.0005736,0
0,0,,0,29.22457237,,,0,35.24260368,0.097905947
0,0,,1.280323121,26.21616051,,,0,38.11479826,0
0,0,,0,28.36502612,,,0,35.94124561,0
0,0,,0.640161561,28.79479925,,,0,34.85446928,0.293717841
0,0,,0,31.80321111,,,0,35.47548432,0
0,0,,0,25.57150082,,,0,35.94124561,0.391623787
0,0,,0,29.43945893,,,0,34.54396176,0.097905947
0,0,,0,26.86082019,,,0,36.63988753,0
0,0,,0.640161561,26.64593363,,,0,38.19242514,0.195811894
0,0,,0,29.86923206,,,0,36.09649937,0
0,0,,0,29.86923206,,,0,35.63073808,0
0,0,,0,26.43104707,,,0,35.24260368,0
0.118598619,0,,0,27.935253,,,0,35.86361873,0
0,0,,0.640161561,24.71195458,,,0,36.32938001,0
0.237197238,0,,0,29.43945893,,,0,36.32938001,0.097905947
0,0,,0,27.29059332,,,0,35.39785744,0
0,0.657591742,,0,32.87764392,,,0,36.01887249,0
0,0,,0,28.79479925,,,0,36.63988753,0.293717841
0.118598619,0,,0,30.29900518,,,0,36.56226065,0
0,0,,0,30.29900518,,,0,35.86361873,0
0,0,,0,31.37343799,,,0,34.93209616,0.195811894
0.118598619,0,,0,32.23298423,,,0,37.88191761,0
0,0.986387613,,0,25.57150082,,,0,37.10564881,0.097905947
0,0,,0,28.15013956,,,0,37.18327569,0
0.237197238,0.657591742,,0,33.95207672,,,0,36.95039505,0.097905947
0.118598619,0,,0,29.86923206,,,0,36.95039505,0.097905947
0,0,,0,27.29059332,,,0,33.6124392,0
0,0,,0,31.80321111,,,0,33.92294672,0
0,0,,0,26.86082019,,,0,34.388708,0
0,0,,0.640161561,25.35661426,,,0,34.31108112,0
0,0,,0,26.64593363,,,0,37.72666385,0
0,0,,0,28.36502612,,,0,35.08734992,0
0,0,,0,30.08411862,,,0,35.5531112,0
0,0.986387613,,0.640161561,27.29059332,,,0,36.09649937,0.097905947
0,0,,0,32.23298423,,,0,31.98227471,0
0,0.657591742,,0,28.36502612,,,0,35.78599185,0
0,0,,0,31.58832455,,,0,34.46633488,0
0,0,,0,30.94366486,,,0,36.87276817,0
0,0,,0,32.01809767,,,0,35.39785744,0
0,0,,0,26.43104707,,,0,32.37040911,0
0,0,,0.640161561,31.58832455,,,0,35.08734992,0
0,0,,0,26.64593363,,,0,35.63073808,0
0,0,,0,26.00127395,,,0,34.69921552,0.097905947
0,0,,0,33.5223036,,,0,41.37512723,0
0,0,,0,28.57991269,,,0,35.5531112,0.097905947
0,0,,0,28.15013956,,,0,36.40700689,0
0.237197238,0,,0,27.72036644,,,0,37.57141009,0
0,0,,0,23.63752177,,,0,36.79514129,0
0,0,,0,26.86082019,,,0,34.85446928,0
0,0,,0.640161561,32.44787079,,,0,37.18327569,0
0,0,,0.640161561,27.29059332,,,0,36.56226065,0
0,0,,0,32.66275736,,,0,36.56226065,0.097905947
0,0.657591742,,0,26.00127395,,,0,37.64903697,0
0.118598619,0.986387613,,0.640161561,28.57991269,,,0,40.59885843,0
0,0,,0,32.87764392,,,0,33.84531984,0
0,0,,0,30.7287783,,,0,35.94124561,0.195811894
0,0.657591742,,0,34.81162297,,,0,36.32938001,0.293717841
0.237197238,0,,0,27.935253,,,0,34.07820048,0
0,0,,0,27.29059332,,,0,35.78599185,0.195811894
0,0,,0.640161561,30.08411862,,,0,35.86361873,0.097905947
0,0.657591742,,0,34.16696329,,,0,37.33852945,0
0,0.986387613,,0,29.22457237,,,0,37.26090257,0
0,0,,0,29.86923206,,,0,37.49378321,0
0,0,,0,29.43945893,,,0,38.11479826,0.195811894
0,0,,0.640161561,25.57150082,,,0,33.92294672,0.097905947
0,0,,0,30.51389174,,,0,34.46633488,0
0,0,,0.640161561,28.79479925,,,0,39.58970898,0.097905947
0,0,,0,27.29059332,,,0,37.64903697,0.097905947
0,0,,0,29.86923206,,,0,34.388708,0.195811894
0.118598619,0,,0,27.72036644,,,0,35.08734992,0.293717841
0,0.657591742,,0,27.29059332,,,0,35.78599185,0
0,0.657591742,,0,28.15013956,,,0,36.63988753,0
0,1.315183485,,0,28.15013956,,,0,34.31108112,0
0,0.657591742,,0,30.29900518,,,0,33.92294672,0
0,0,,0,29.65434549,,,0,35.86361873,0
0,0,,0,28.36502612,,,0,36.63988753,0.097905947
0,0,,0,28.57991269,,,0,39.74496274,0.097905947
0.237197238,0,,0,30.7287783,,,0,35.63073808,0.097905947
0,0.657591742,,0,31.37343799,,,0,35.39785744,0
0.237197238,0,,0,28.79479925,,,0,35.47548432,0.195811894
0,0,,0,29.00968581,,,0,37.64903697,0
0,0.657591742,,0,29.22457237,,,0,36.01887249,0
0,0,,0,27.29059332,,,0,35.63073808,0
0,0,,0,27.29059332,,,0,36.32938001,0.195811894
0,0,,0,31.15855142,,,0,39.1239477,0
0,0,,0,31.58832455,,,0,35.39785744,0.097905947
0,0,,0,28.57991269,,,0,34.07820048,0.293717841
0,0.657591742,,0,27.29059332,,,0,35.47548432,0.097905947
0,0.657591742,,0,28.57991269,,,0,37.80429073,0.097905947
0,0,,0,31.15855142,,,0,36.95039505,0.097905947
0,0.657591742,,0,31.15855142,,,0,36.32938001,0
0,0,,0.960242341,26.64593363,,,0,33.06905103,0
0,0,,0.640161561,34.38184985,,,0,37.10564881,0.195811894
0,0,,0,25.57150082,,,0,39.1239477,0
0,1.315183485,,0.640161561,29.00968581,,,0,35.5531112,0
0,0.657591742,,0,32.66275736,,,0,33.22430479,0.293717841
0,0,,0,29.86923206,,,0,35.86361873,0.097905947
0,0,,0,31.15855142,,,0,37.10564881,0
0,0.657591742,,0.640161561,32.44787079,,,0,35.78599185,0
0.118598619,0.986387613,,0,31.80321111,,,0,34.7768424,0.097905947
0,1.315183485,,0.960242341,30.51389174,,,0,35.94124561,0.097905947
0.237197238,0,,0,30.29900518,,,0,33.14667791,0.097905947
0,0,,0,31.80321111,,,0,36.25175313,0
0,0,,0,23.85240833,,,0,34.15582736,0.097905947
0,0,,0,29.65434549,,,0,37.26090257,0
0,0,,0,28.79479925,,,0,36.87276817,0
0,0,,0,30.51389174,,,0,35.86361873,0
0,0,,0,24.06729489,,,0,36.09649937,0.097905947
0,0,,0,31.58832455,,,0.938449767,36.40700689,0
0.118598619,0.657591742,,0,28.15013956,,,0,35.63073808,0.097905947
